frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
171,1763110268.166348074,172.16.11.2,-5.8556056022644,-79.3934726715088,34050,320,CMP276,0x0c20b5,DO-260B
172,1763110268.184398141,10.30.212.17,-12.0132064819336,-77.3630619049072,18550,175.75,LPE2811,0xe80408,DO-260B
173,1763110268.205524527,172.16.13.2,-2.32858657836914,-72.9881858825684,38325,360,CMP206,0x0c205f,DO-260B
174,1763110268.232833309,172.16.1.2,-20.326874256134,-75.7131600379944,35750,340,CMP475,0x0c20f5,DO-260B
175,1763110268.238114980,172.16.11.2,-9.4261622428894,-78.3860349655151,37200,350,LPE2483,0xe8040c,DO-260B
176,1763110268.259960656,172.16.3.2,-7.6409912109375,-79.1685104370117,37325,350.25,AAL1307,0xa515ad,DO-260B
177,1763110268.270218974,172.16.3.2,-7.4877405166626,-79.188015460968,38225,360,LAN572,0xe8022a,DO-260B
178,1763110268.270291507,172.16.13.2,-1.83003902435303,-70.4617381095886,38375,360,AVA248,0xad1861,DO-260B
179,1763110268.288656359,172.16.3.2,-7.29500770568848,-79.8957324028015,,389.75,AAL933,0xac1076,DO-260B
180,1763110268.364481610,172.16.11.2,-9.36056613922119,-76.8011713027954,37300,350,DWI6771,0x0c4355,DO-260B
182,1763110268.383576184,172.16.3.2,-5.8556056022644,-79.3934726715088,34050,320,CMP276,0x0c20b5,DO-260B
183,1763110268.394708201,10.30.212.17,-12.2732090950012,-77.974112033844,36175,340,TPA4090,0xa3ad89,DO-260B
184,1763110268.396444732,172.16.3.2,-6.82635068893433,-79.2716574668884,34075,320.25,CMP421,0x0c2076,DO-260B
185,1763110268.402271830,172.16.13.2,-2.69675731658936,-72.9316449165344,34075,320,CMP439,0x0c20dd,DO-260B
186,1763110268.409904145,172.16.11.2,-7.10763931274414,-78.801326751709,34075,320,CMP264,0x0c21b6,DO-260B
188,1763110268.418791103,172.16.3.2,-7.10763931274414,-78.801326751709,34075,320,CMP264,0x0c21b6,DO-260B
189,1763110268.423836908,10.30.212.17,-11.9058108329773,-77.3890900611877,40325,380,RPB509,0x0c2081,DO-260B
190,1763110268.426733340,10.30.212.17,-15.0074529647827,-77.2554087638855,39200,370,UAL847,0xaac8a4,DO-260B
191,1763110268.426803561,172.16.13.2,-5.39559602737427,-76.4674830436707,39400,370,DWI3761,0x0c4354,DO-260B
192,1763110268.434984342,172.16.13.2,-5.39559602737427,-76.4674830436707,39400,370,DWI3761,0x0c4354,DO-260B
193,1763110268.485436524,172.16.3.2,-3.30491065979004,-83.067991733551,,340,AMX029,0xa540e2,DO-260B
195,1763110268.488651502,172.16.11.2,-7.6409912109375,-79.1685104370117,37325,350.25,AAL1307,0xa515ad,DO-260B
196,1763110268.490344268,172.16.1.2,-17.7959418296814,-75.5399751663208,34900,330,AAL907,0xaa57df,DO-260B
197,1763110268.553182592,172.16.11.2,-10.1204681396484,-77.8672742843628,30675,288,TAI428,0xad4ebc,DO-260B
201,1763110268.553218931,172.16.13.2,-2.14879274368286,-70.3843832015991,47425,450,PSSFR,0xe49bba,DO-260B
202,1763110268.575260080,172.16.13.2,-2.14879274368286,-70.3843832015991,47425,450,PSSFR,0xe49bba,DO-260B
204,1763110268.595384847,172.16.11.2,-7.29500770568848,-79.8957324028015,,389.75,AAL933,0xac1076,DO-260B
205,1763110268.601563387,10.30.212.17,-14.4966316223145,-77.3579978942871,33925,320,LAE2835,0xa7459d,DO-260B
206,1763110268.610686415,172.16.11.2,-7.48694658279419,-79.1881227493286,38200,359.75,LAN572,0xe8022a,DO-260B
208,1763110268.742068227,10.30.212.17,-11.0592198371887,-76.9424486160278,27875,262,LPE2231,0xe8041b,DO-260B
